Season,Avg Points Scored Per Game
1970,42.48414985590778
1971,40.49048913043478
1972,40.85675306957708
1973,41.739014647137154
1974,40.13925729442971
1975,39.845283018867924
1976,40.005050505050505
1977,41.249414519906324
1978,41.17852684144819
1979,39.84320987654321
1980,40.998751560549316
1981,41.02791878172589
1982,43.02682563338301
1983,44.075
1984,43.993920972644375
1985,44.58931297709923
1986,45.421647819063004
1987,46.110569105691056
1988,47.445880452342486
1989,48.24592833876221
1990,48.79425837320574
1991,46.17874396135266
1992,45.786407766990294
1993,48.8235294117647
1994,49.12662337662338
1995,50.19645732689211
1996,50.95319812792512
1997,50.99844236760124
1998,50.95987654320987
1999,51.28333333333333
2000,51.388724035608305
2001,53.04824561403509
2002,53.75806451612903
2003,52.39165545087483
2004,52.252873563218394
2005,52.44057971014493
2006,47.36973684210526
2007,55.31070496083551
2008,52.78311688311688
2009,52.36950904392765
2010,54.346701164294956
2011,54.985842985842986
2012,56.49813664596273
2013,57.260975609756095
2014,56.75753920386007
2015,57.01326899879373
2016,58.19350961538461
2017,55.930455635491604
2018,57.61183431952663
2019,55.968160377358494
2020,57.55350553505535
