Season,Avg Points Scored Per Game,Avg Turnovers,Avg Total Yards,Avg Third Down Eff,Avg Margin of Victory,Avg Number of Punts,Number of Punts,Avg Loss of Yard Plays,Avg Standard Gain Plays,Avg Explosive Plays,Num Loss of Yard Plays,Num Standard Gain Plays,Num Explosive Plays,Number of Games
2004,52.25287356,4.01490313,746.5722802,0.366142354,18.00862069,7.141579732,4792,9.229508197,61.10134128,3.357675112,6193,40999,2253,671
2005,52.44057971,4.076470588,743.1588235,0.364024704,17.89565217,8.748529412,5949,8.691176471,103.6367647,4.338235294,5910,70473,2950,680
2006,47.36973684,3.888741722,674.6463576,0.385939668,17.69342105,8.135099338,6142,10.56821192,74.35496689,3.851655629,7979,56138,2908,755
2007,55.31070496,4.021024967,763.3324573,0.394109965,17.67885117,8.768725361,6673,12.48883049,84.00131406,4.266754271,9504,63925,3247,761
2008,52.78311688,3.858441558,726.1363636,0.394912545,18.80649351,9.154545455,7049,12.84805195,87.09350649,4.598701299,9893,67062,3541,770
2009,52.36950904,3.532299742,740.8074935,0.390847363,17.68475452,9.290697674,7191,13.1369509,88.49870801,4.73126615,10168,68498,3662,774
2010,54.34670116,3.522639069,754.1358344,0.399503494,18.97800776,9.276843467,7171,13.08926261,89.71410091,4.952134541,10118,69349,3828,773
2011,54.98584299,3.475324675,773.1636364,0.404072542,18.83140283,9.637662338,7421,13.33766234,94.22727273,5.154545455,10270,72555,3969,770
2012,56.49813665,3.486956522,799.1639752,0.401242236,18.77142857,9.413664596,7578,13.05714286,95.30931677,5.245962733,10511,76724,4223,805
2013,57.26097561,3.406097561,811.6353659,0.400141584,20.39756098,9.997560976,8198,9.830487805,97.2304878,5.707317073,8061,79729,4680,820
2014,56.7575392,3.329710145,803.9070048,0.399625682,18.50904704,9.949275362,8238,12.84541063,93.15458937,5.752415459,10636,77132,4763,828
2015,57.013269,3.201447527,803.9529554,0.389740228,19.29312425,10.14475271,8410,13.35946924,93.28950543,6.097708082,11075,77337,5055,829
2016,58.19350962,3.102286402,819.9362214,0.39751297,19.06129808,9.870036101,8202,12.9290012,92.69554753,6.241877256,10744,77030,5187,831
2017,55.93045564,3.005995204,793.2601918,0.389845382,18.78417266,10.02877698,8364,13.08513189,92.27458034,6.043165468,10913,76957,5040,834
2018,57.61183432,3.004733728,799.660355,0.392870655,19.29940828,9.717159763,8211,13.24497041,92.94911243,6.14556213,11192,78542,5193,845
2019,55.96816038,2.845518868,790.9150943,0.392993018,19.31721698,9.45754717,8020,13.24764151,92.00471698,6.043632075,11234,78020,5125,848
2020,57.55350554,2.937269373,797.5498155,0.402937883,17.31734317,8.723247232,4728,13.3099631,92.21771218,6.134686347,7214,49982,3325,542
